code,servingSizeG,kcalPer100g,carbsPer100g,proteinPer100g,fatPer100g,sugarPer100g,sodiumMgPer100g,fiberPer100g,saturatedFatPer100g,transFatPer100g,cholesterolMgPer100g,maker,name
MANUAL-0001,,294.0,15.6,22.3,15.8,2.5,340.7,,3.3,,,bhc,뿌링클 콤보
MANUAL-RIA-ada4923f,263,208.75,18.31,6.84,12.02,4.18,494.3,,1.22,,,롯데리아,리아 두툼새우
MANUAL-RIA-c1d4acb6,263,196.2,17.04,6.84,11.18,3.8,498.1,,1.52,,,롯데리아,리아 두툼새우 스파이시토마토
MANUAL-RIA-5add452a,263,217.49,18.42,8.75,12.09,5.7,304.18,,4.56,,,롯데리아,한우불고기버거
MANUAL-RIA-fd3f9e4d,352,227.84,18.53,11.08,12.16,5.11,326.7,,5.68,,,롯데리아,더블한우불고기버거
MANUAL-RIA-414e657a,192,240.62,19.87,10.94,13.04,5.73,458.33,,5.73,,,롯데리아,리아 불고기
MANUAL-RIA-3d663fcd,224,226.79,18.75,10.27,12.3,4.91,419.64,,5.8,,,롯데리아,리아 불고기 베이컨
MANUAL-RIA-e9aab87d,274,263.14,20.96,13.87,13.76,4.38,540.15,,8.76,,,롯데리아,리아 불고기 더블 (빅불)
MANUAL-RIA-ba760cc2,179,264.25,23.29,8.38,15.28,2.79,502.79,,2.12,,,롯데리아,리아 새우
MANUAL-RIA-a72376c2,211,245.97,21.39,8.53,14.03,2.84,454.98,,2.37,,,롯데리아,리아 새우 베이컨
MANUAL-RIA-15723f9d,208,256.73,22.42,8.65,14.71,2.88,504.81,,2.02,,,롯데리아,리아 사각새우 더블
MANUAL-RIA-1f9a1235,223,312.11,26.07,13.45,17.11,2.69,448.43,,7.17,,,롯데리아,모짜렐라 인 더 버거 베이컨
MANUAL-RIA-651486d2,285,201.4,18.35,4.91,12.04,2.81,452.63,,2.46,,,롯데리아,전주비빔라이스버거
MANUAL-RIA-9eb020d9,228,308.33,26.52,11.4,17.4,2.63,456.14,,10.09,,,롯데리아,더블엑스투버거
MANUAL-RIA-8f616ae3,190,238.95,19.45,11.58,12.76,2.11,473.68,,2.63,,,롯데리아,핫크리스피치킨버거
MANUAL-RIA-c3ce2047,181,211.05,17.96,8.29,11.79,3.87,331.49,,2.54,,,롯데리아,미라클버거
MANUAL-RIA-1f527bcb,245,224.9,18.58,10.2,12.19,4.08,375.51,,2.86,,,롯데리아,더블 미라클버거
MANUAL-RIA-7036bfc9,146,330.14,28.9,10.96,18.97,3.42,486.3,,8.9,,,롯데리아,클래식치즈버거
MANUAL-RIA-3d81ad27,213,336.62,29.05,12.21,19.07,2.82,483.57,,10.8,,,롯데리아,더블 클래식치즈버거
MANUAL-RIA-1f28d07d,141,251.77,21.12,10.64,13.86,5.67,439.72,,2.7,,,롯데리아,치킨버거
MANUAL-RIA-40fcc703,205,233.17,18.81,11.71,12.34,5.37,463.41,,2.44,,,롯데리아,더블 치킨버거
MANUAL-RIA-584c5f6b,134,259.7,22.6,8.96,14.83,7.46,440.3,,3.66,,,롯데리아,데리버거
MANUAL-RIA-56bb4c5d,170,262.35,21.97,11.18,14.42,5.88,435.29,,4.12,,,롯데리아,더블 데리버거
MANUAL-RIA-1d69b192,240,305.42,26.29,11.25,17.25,4.17,450,,7.5,,,롯데리아,나폴리 모짜렐라버거 토마토바질
MANUAL-RIA-5c70278b,250,293.2,25.24,10.8,16.56,4,416,,7.2,,,롯데리아,나폴리 모짜렐라버거 발사믹바질
MANUAL-RIA-db738aab,231,267.53,22.64,10.82,14.86,3.46,454.55,,2.16,,,롯데리아,통다리 크리스피치킨버거(그릭랜치)
MANUAL-RIA-9a3910dc,231,257.14,21.59,10.82,14.17,4.33,450.22,,1.9,,,롯데리아,통다리 크리스피치킨버거(파이어핫)
MANUAL-RIA-9998102a,198,304.04,25.39,13.13,16.66,8.59,540.4,,8.59,,,롯데리아,번트비프버거
MANUAL-RIA-4399f9a6,290,266.55,23.29,8.97,15.28,4.83,395.17,,6.21,,,롯데리아,하와이안 모짜렐라버거
MANUAL-RIA-1b2c796b,85,209.41,13.72,10.59,12.47,0,317.65,,2.94,,,롯데리아,화이어윙2조각
MANUAL-RIA-33c8069e,170,210,13.96,10,12.69,0,323.53,,2.94,,,롯데리아,화이어윙4조각
MANUAL-RIA-69520afc,82,184.15,10.71,13.41,9.74,0,402.44,,2.2,,,롯데리아,치킨다리 1조각
MANUAL-RIA-0d042166,428,167.52,10.3,10.51,9.36,3.04,341.12,,1.87,,,롯데리아,치킨다리 하프팩(코울슬로) (소스미포함)
MANUAL-RIA-ae19eb36,426,208.45,19.45,11.27,9.51,0.7,429.58,,2.35,,,롯데리아,치킨다리 하프팩(포테이토) (소스미포함)
MANUAL-RIA-91d66eda,244,270.08,16.93,15.98,15.38,0.82,479.51,,2.46,,,롯데리아,순살치킨 하프팩 (소스 미포함)
MANUAL-RIA-fbcbfec9,487,270.84,17.05,15.81,15.49,0.82,482.55,,2.46,,,롯데리아,순살치킨 풀팩 (소스 미포함)
MANUAL-RIA-bc524a76,292,295.21,18.73,16.78,17.02,0.34,520.55,,3.42,,,롯데리아,후라이드 순살치킨 (R) (소스 미포함)
MANUAL-RIA-4ac7c7d7,584,295.38,13.17,33.73,11.97,0.17,520.55,,3.25,,,롯데리아,후라이드 순살치킨 (L) (소스 미포함)
MANUAL-RIA-99899053,292,310.27,20.08,16.44,18.25,0.34,532.19,,3.77,,,롯데리아,후라이드 순살치킨 N (R) (소스 미포함)
MANUAL-RIA-662ab2bf,584,310.27,20.02,16.61,18.19,0.17,532.36,,3.6,,,롯데리아,후라이드 순살치킨 N (L) (소스 미포함)
MANUAL-RIA-746658d6,77,237.66,13.12,19.48,11.92,0,480.52,,2.47,,,롯데리아,치킨휠레2조각 (소스미포함)
MANUAL-RIA-9141e63b,153,239.22,13.42,18.95,12.19,0,483.66,,2.48,,,롯데리아,치킨휠레4조각 (소스미포함)
MANUAL-RIA-1d67e72f,380,74.21,10.98,2.11,2.43,9.74,31.58,,1.58,,,롯데리아,말차라뗴
MANUAL-RIA-5abf6e2c,290,2.76,0.68,0,0,0,1.72,,0,,,롯데리아,아메리카노
MANUAL-RIA-f7f73cb0,340,1.47,0.36,0,0,0,0,,0,,,롯데리아,아이스아메리카노
MANUAL-RIA-e90dd609,530,1.7,0.42,0,0,0,0,,0,,,롯데리아,아이스아메리카노(L)
MANUAL-RIA-eb1e2f5c,300,48.33,6.38,2.33,1.5,2.33,26.67,,1.5,,,롯데리아,카페라떼(살균우유)
MANUAL-RIA-a96471b5,325,18.46,2.47,0.92,0.55,0.92,9.23,,0.52,,,롯데리아,아이스카페라떼(살균우유)
MANUAL-RIA-fb500509,380,47.37,11.7,0,0.06,10.79,2.63,,0,,,롯데리아,레몬에이드(R)
MANUAL-RIA-7b28a5cd,515,47.77,11.8,0,0.06,10.87,2.14,,0,,,롯데리아,레몬에이드(L)
MANUAL-RIA-62cbd88a,380,50.26,12.42,0,0.06,12.37,0,,0,,,롯데리아,아이스티(R)
MANUAL-RIA-ad4b1ed7,515,51.07,12.62,0,0.07,12.43,0,,0,,,롯데리아,아이스티(L)
MANUAL-RIA-42bf86f8,420,0,0,0,0,0,13.1,,0,,,롯데리아,제로슈거콜라(R)
MANUAL-RIA-c90221f1,570,0,0,0,0,0,13.16,,0,,,롯데리아,제로슈거콜라(L)
MANUAL-RIA-9ab79a44,420,30.48,7.53,0,0.04,7.38,3.57,,0,,,롯데리아,펩시콜라(R)
MANUAL-RIA-5d49e38f,570,30.53,7.54,0,0.04,7.37,3.51,,0,,,롯데리아,펩시콜라(L)
MANUAL-RIA-351ecff0,420,31.67,7.82,0,0.04,7.38,1.19,,0,,,롯데리아,사이다(R)
MANUAL-RIA-a7353d58,570,31.93,7.89,0,0.04,7.37,1.75,,0,,,롯데리아,사이다(L)
MANUAL-RIA-ce11f447,241,0.83,0.21,0,0,0,0,,0,,,롯데리아,캐모마일 티
MANUAL-RIA-99f157ce,440,144.09,27.52,2.05,2.87,18.64,50,,0.68,,,롯데리아,말차빙수(보냉백 포함)
MANUAL-RIA-3d8bd5dc,440,144.09,27.52,2.05,2.87,18.64,50,,0.68,,,롯데리아,말차빙수(보냉백 미포함)
